YEAR,Wine Class,Grape Variety,Region,Band,Income_R_per_t
2025,Red,Pinot noir,STELLENBOSCH  ,Low ,8613
2025,Red,Pinotage,STELLENBOSCH  ,Low ,8613
2025,Red,Roobernet,STELLENBOSCH  ,Low ,9995
2025,Red,Ruby Cabernet,STELLENBOSCH  ,Low ,9995
2025,Red,Shiraz,STELLENBOSCH  ,Low ,6330
2025,Red,Tinta Barocca,STELLENBOSCH  ,Low ,7056
2025,Red,Other Red,STELLENBOSCH  ,Low ,8613
2025,White,Bukettraube,STELLENBOSCH  ,High,7885
2025,White,Crouchen,STELLENBOSCH  ,High,14422
2025,White,Chardonnay,STELLENBOSCH  ,High,12243
2025,White,Chenin Blanc,STELLENBOSCH  ,High,9338
2025,White,Clairette blanche,STELLENBOSCH  ,High,10064
2025,White,Colombar,STELLENBOSCH  ,High,7885
2025,White,Palomino,STELLENBOSCH  ,High,8612
2025,White,Gewurztraminer,STELLENBOSCH  ,High,10791
2025,White,Muscat d'Alexandrie,STELLENBOSCH  ,High,11517
2025,White,Muscat de Frontignan,STELLENBOSCH  ,High,5603
2025,White,Pinot gris,STELLENBOSCH  ,High,8612
2025,White,Sauvignon blanc,STELLENBOSCH  ,High,10791
2025,White,Sémillon,STELLENBOSCH  ,High,10791
2025,White,Viognier,STELLENBOSCH  ,High,8612
2025,White,Riesling,STELLENBOSCH  ,High,13696
2025,White,Other White,STELLENBOSCH  ,High,7885
